year,strategy_return_pct,benchmark_return_pct,alpha_pct
2019,0.26,0.24,0.01
2020,45.42,18.33,27.09
2021,36.91,28.73,8.18
2022,-12.00,-18.18,6.18
2023,48.07,26.18,21.89
2024,-14.70,24.89,-39.58
