year,strategy_return_pct,benchmark_return_pct,alpha_pct
2019,0.45,0.24,0.21
2020,28.86,18.33,10.53
2021,33.84,28.73,5.11
2022,-9.22,-18.18,8.95
2023,31.11,26.18,4.93
2024,4.58,24.89,-20.31
