year,strategy_return_pct,benchmark_return_pct,alpha_pct
2019,0.30,0.24,0.05
2020,4.43,18.33,-13.90
2021,21.12,28.73,-7.61
2022,-0.17,-18.18,18.00
2023,27.11,26.18,0.93
2024,20.23,24.89,-4.65
