year,strategy_return_pct,benchmark_return_pct,alpha_pct
2019,0.20,0.24,-0.05
2020,30.70,18.33,12.36
2021,55.82,28.73,27.09
2022,-28.44,-18.18,-10.27
2023,38.44,26.18,12.26
2024,3.75,24.89,-21.13
