year,strategy_return_pct,benchmark_return_pct,alpha_pct
2019,0.28,0.24,0.04
2020,6.71,18.33,-11.63
2021,31.98,28.73,3.25
2022,-6.95,-18.18,11.22
2023,19.53,26.18,-6.65
2024,9.73,24.89,-15.16
