year,strategy_return_pct,benchmark_return_pct,alpha_pct
2019,0.93,0.24,0.69
2020,6.81,18.33,-11.53
2021,37.10,28.73,8.37
2022,-12.71,-18.18,5.47
2023,44.59,26.18,18.41
2024,10.13,24.89,-14.76
