year,strategy_return_pct,benchmark_return_pct,alpha_pct
2019,0.80,0.24,0.55
2020,19.78,18.33,1.45
2021,42.77,28.73,14.04
2022,-9.26,-18.18,8.92
2023,46.91,26.18,20.73
2024,17.68,24.89,-7.21
