year,strategy_return_pct,benchmark_return_pct,alpha_pct
2019,0.29,0.24,0.05
2020,32.04,18.33,13.71
2021,30.38,28.73,1.66
2022,-28.12,-18.18,-9.95
2023,41.98,26.18,15.80
2024,39.76,24.89,14.87
