year,strategy_return_pct,benchmark_return_pct,alpha_pct
2019,0.86,0.24,0.62
2020,27.35,18.33,9.02
2021,60.63,28.73,31.90
2022,-13.68,-18.18,4.49
2023,45.64,26.18,19.46
2024,8.54,24.89,-16.34
