year,strategy_return_pct,benchmark_return_pct,alpha_pct
2019,0.02,0.24,-0.22
2020,25.59,18.33,7.26
2021,31.10,28.73,2.37
2022,-15.62,-18.18,2.56
2023,42.61,26.18,16.44
2024,18.85,24.89,-6.04
